main_id,ra,dec,plx_value
"NAME Proxima Centauri c",217.42894222160578,-62.67949018907555,768.0665
"NAME Proxima d",217.42894222160578,-62.67949018907555,768.0665
"NAME Proxima Centauri",217.42894222160578,-62.67949018907555,768.0665
"NAME Proxima Centauri b",217.42894222160578,-62.67949018907555,768.0665
"* alf Cen",219.9020833333333,-60.83397222222223,750.81
"* alf Cen B",219.89609628987276,-60.83752756558407,742.12
"* alf Cen A",219.90205833170774,-60.83399268831004,742.12
"NAME Barnard's Star b",269.4520769586187,4.693364966576667,546.9759
"NAME Barnard's star",269.4520769586187,4.693364966576667,546.9759
"NAME Luhman 16",162.32881400000002,-53.319466000000006,501.557
"WISEA J085510.74-071442.5",133.81890825,-7.247048000000001,439.0
"Wolf  359b",164.1205036259475,7.014723134801666,415.1794
"Wolf  359c",164.1205036259475,7.014723134801666,415.1794
"Wolf  359",164.1205036259475,7.014723134801666,415.1794
"HD  95735b",165.8341450816425,35.96988227279361,392.7529
"HD  95735c",165.8341450816425,35.96988227279361,392.7529
"HD  95735",165.8341450816425,35.96988227279361,392.7529
"* alf CMa",101.28715533333335,-16.71611586111111,379.21
"G 272-61",24.756053899999998,-17.950568099999998,375.0
"* alf CMa B",101.28876746876543,-16.716867983351943,374.4896
"G 272-61B",24.756823827312502,-17.950278122424443,373.8443
"G 272-61A",24.75573856713083,-17.950718742164163,367.7119
"CD-23 14742",282.45568240083537,-23.83623538204166,336.0266
"Ross  248",355.47931791771504,44.17744969753222,316.4812
"* eps Eri c",53.23268537982792,-9.458260970518056,310.5773
"* eps Eri b",53.23268537982792,-9.458260970518056,310.5773
"* eps Eri",53.23268537982792,-9.458260970518056,310.5773
"HD 217987d",346.4668157737879,-35.85307088473306,304.1354
"HD 217987c",346.4668157737879,-35.85307088473306,304.1354
"HD 217987",346.4668157737879,-35.85307088473306,304.1354
"HD 217987b",346.4668157737879,-35.85307088473306,304.1354
"Ross  128",176.93498861725834,0.8045556493308333,296.3053
"GJ 447 b",176.93498861725834,0.8045556493308333,296.3053
"V* EZ Aqr",339.6399,-15.2999325,293.6
"*  61 Cyg B",316.7302660185276,38.74204403329556,286.0054
"*  61 Cyg A",316.7247482895925,38.74941731943694,285.9949
"* alf CMi",114.82549790798149,5.224987557059477,284.56
"HD 173739",280.6946016085025,59.63039151279416,283.8401
"HD 173739b",280.6946016085025,59.63039151279416,283.8401
"HD 173740",280.6953944644875,59.6268669892814,283.8378
"HD   1326b",4.5953540832,44.02295498655222,280.7068
"HD   1326c",4.5953540832,44.02295498655222,280.7068
"HD   1326",4.5953540832,44.02295498655222,280.7068
"HD   1326B",4.607604753587916,44.02724789773806,280.6947
"G  51-15",127.45563663413579,26.77600670640528,279.2496
